City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
569,Jibuti,DJ,11.5,42.5,70.02,74,4,12.88,clear sky
570,Tera,NE,14.0078,0.7531,74.7,17,8,9.19,clear sky
571,Conakry,GN,9.538,-13.6773,82.15,69,100,2.82,overcast clouds
572,Usatove,UA,46.533,30.6596,39.52,87,100,12.66,overcast clouds
573,Korla,CN,41.7597,86.1469,32.7,45,3,3.27,clear sky
574,Kidal,ML,18.4411,1.4078,70.14,16,49,9.86,scattered clouds
575,Hervey Bay,AU,-25.2986,152.8535,70.84,50,0,2.17,clear sky
576,Cornwall,CA,45.0181,-74.7281,27.88,63,75,16.11,broken clouds
577,Kendari,ID,-3.945,122.4989,79.7,82,100,2.82,overcast clouds
578,Guane,CU,22.2025,-84.0875,74.32,81,14,11.05,few clouds
579,Yar-Sale,RU,66.8333,70.8333,15.8,82,92,23.09,overcast clouds
580,Tumaco,CO,1.7986,-78.8156,76.21,81,91,10.22,overcast clouds
581,Caravelas,BR,-17.7125,-39.2481,72.7,93,100,8.77,overcast clouds
582,Ilulissat,GL,69.2167,-51.1,19.42,79,75,5.75,light snow
583,Glossa,GR,35.4717,23.7763,66.09,72,86,10.16,overcast clouds
584,Kautokeino,NO,69.0125,23.0412,9.5,60,16,0.65,few clouds
585,Hongjiang,CN,27.11,109.9956,55.02,96,100,3.02,overcast clouds
586,Ondarroa,ES,43.3167,-2.4167,53.92,86,58,9.64,broken clouds
587,Gopalpur,IN,19.2667,84.9167,67.48,61,95,8.34,overcast clouds
588,Kyrksaeterora,NO,63.2906,9.0891,35.56,39,52,7.78,broken clouds
589,Kozan,TR,37.4552,35.8157,57.85,85,98,2.44,overcast clouds
590,Yoichi,JP,43.2039,140.7703,42.66,63,83,6.73,broken clouds
591,Ust-Omchug,RU,61.15,149.6333,-27.31,100,69,1.39,broken clouds
592,Tulun,RU,54.5611,100.5792,12.65,89,38,3.62,scattered clouds
593,Sanmenxia,CN,34.7747,111.1814,51.82,62,67,5.75,broken clouds
594,Mitsamiouli,KM,-11.3847,43.2844,77.61,80,4,8.68,clear sky
595,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,57,0,8.95,clear sky
596,Vestmannaeyjar,IS,63.4427,-20.2734,46.76,81,84,21.85,broken clouds
597,Carmo Do Rio Claro,BR,-20.9719,-46.1189,69.57,61,73,2.91,broken clouds
598,Nioro,GM,13.35,-15.75,77.74,39,77,2.89,broken clouds
599,Ternate,ID,0.8,127.4,83.19,76,92,3.53,overcast clouds
600,Micheweni,TZ,-4.9667,39.8333,77.23,86,78,5.5,light rain
601,Lichinga,MZ,-13.3128,35.2406,63.32,80,19,4.05,few clouds
602,Qarchi Gak,AF,37.04,66.7889,55.81,41,100,15.32,overcast clouds
603,Kouroussa,GN,10.65,-9.8833,72.16,33,89,1.81,overcast clouds
604,Hutchinson,US,38.0608,-97.9298,35.73,63,100,1.99,overcast clouds
605,Kolpny,RU,52.2282,37.0368,25.43,84,100,11.12,overcast clouds
606,Jumla,NP,29.2747,82.1838,37.45,40,0,4.21,clear sky
607,Pallasovka,RU,50.05,46.8833,43.66,95,100,12.57,overcast clouds
608,High Level,CA,58.5169,-117.136,10.51,92,20,2.3,smoke
609,Sisimiut,GL,66.9395,-53.6735,18.99,89,100,13.24,overcast clouds
610,Hay River,CA,60.8156,-115.7999,21.16,68,40,10.36,scattered clouds
611,Omboue,GA,-1.5746,9.2618,73.94,93,100,4.38,light rain
612,Payakumbuh,ID,-0.2202,100.6308,70.56,91,100,3.2,overcast clouds
613,Ikwiriri,TZ,-7.9562,38.9716,72.14,93,74,2.04,broken clouds
614,Melnikovo,RU,56.5558,84.085,-5.57,99,41,2.19,scattered clouds
615,La Rioja,ES,42.25,-2.5,42.58,77,41,2.3,scattered clouds
616,Chistogorskiy,RU,53.9835,87.3843,21.63,86,100,7.38,light snow
617,Karaton,ID,-6.3424,106.1045,75.94,91,100,4.63,overcast clouds
618,Aguimes,ES,27.9054,-15.4461,65.66,83,20,12.66,few clouds
619,Aguada De Pasajeros,CU,22.385,-80.8508,75.69,80,51,9.75,moderate rain
620,Gornopravdinsk,RU,60.05,69.9,-2.58,88,23,8.77,few clouds
621,Alcaniz,ES,41.05,-0.1333,55.47,66,27,17.74,scattered clouds
622,Havoysund,NO,70.9963,24.6622,39.43,82,59,8.19,broken clouds
623,Vryheid,ZA,-27.7695,30.7917,62.64,96,74,4.34,broken clouds
624,Bafq,IR,31.6128,55.4107,63.1,54,100,2.04,overcast clouds
625,Magadi,IN,12.9667,77.2333,57.51,61,71,3.91,broken clouds
626,Boende,CD,-0.2167,20.8667,69.71,98,100,0.09,light rain
627,Beloha,MG,-25.1667,45.05,67.93,89,0,3.18,clear sky
628,Nelson Bay,AU,-32.7167,152.15,68.09,66,53,15.99,broken clouds
629,Encruzilhada Do Sul,BR,-30.5439,-52.5219,61.57,59,35,4.65,scattered clouds
630,Teknaf,BD,20.8624,92.3058,68.2,65,4,6.67,clear sky
631,Xuddur,SO,4.1213,43.8894,71.6,86,5,11.56,clear sky
632,Key Largo,US,25.0865,-80.4473,75.99,79,71,20.89,broken clouds
633,Hokitika,NZ,-42.7167,170.9667,67.84,66,88,7.85,overcast clouds
634,Chara,RU,56.9064,118.2631,7.5,75,43,2.42,scattered clouds
635,Naberera,TZ,-4.2,36.9333,62.6,87,84,3.83,broken clouds
636,Dharchula,IN,29.85,80.5333,49.53,29,0,7.25,clear sky
637,Longavi,CL,-35.9667,-71.6833,65.68,49,50,8.55,scattered clouds
638,Cordoba,AR,-31.4135,-64.1811,87.76,19,0,10.36,smoke
639,Partizanskoye,RU,55.5006,94.39,19.36,78,100,10.63,overcast clouds
640,Arica,CL,-18.475,-70.3042,67.55,72,75,10.36,broken clouds
641,Kysyl-Syr,RU,63.8986,122.7617,-0.67,99,100,1.79,overcast clouds
642,Rosarito,MX,32.3333,-117.0333,74.41,37,100,4.79,overcast clouds
643,Coahuayana,MX,18.7333,-103.6833,79.39,84,2,3.04,clear sky
644,Burlatskoye,RU,45.0564,43.635,43.09,90,66,8.95,broken clouds
645,Port Shepstone,ZA,-30.7414,30.455,68.77,85,100,3.49,light rain
646,Yulara,AU,-25.2406,130.9889,81.43,51,9,16.46,clear sky
647,Okhotsk,RU,59.3833,143.3,-3.26,75,1,11.99,clear sky
648,Lerwick,GB,60.1545,-1.1494,46.4,69,100,38.01,overcast clouds
649,Verkhnevilyuysk,RU,63.4453,120.3167,-5.67,96,99,4.79,overcast clouds
650,Erenhot,CN,43.6475,111.9767,33.84,41,100,12.21,overcast clouds
651,Bartica,GY,6.4,-58.6167,80.92,93,99,3.11,overcast clouds
652,Cap Malheureux,MU,-19.9842,57.6142,68.47,63,15,1.99,few clouds
653,Pozo Colorado,PY,-23.4923,-58.7972,74.37,45,22,6.11,few clouds
654,Sioux Lookout,CA,50.1001,-91.917,19.47,79,75,10.36,broken clouds
655,Mahroni,IN,24.5862,78.7288,58.39,46,0,0.47,clear sky
656,Gravelbourg,CA,49.8834,-106.5512,5.27,84,68,11.36,broken clouds
657,Wad Madani,SD,14.4012,33.5199,73.08,20,0,13.04,clear sky
658,Thunder Bay,CA,48.4001,-89.3168,24.78,63,75,4.61,broken clouds
659,Dangriga,BZ,16.9692,-88.2321,78.78,80,12,7.67,few clouds
660,Matara,LK,5.9485,80.5353,74.71,90,76,2.89,broken clouds
661,Murmashi,RU,68.8154,32.8115,25.21,100,75,2.24,fog
