City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Georgetown,MY,2022-11-09 18:08:35,5.4112,100.3354,81.9,86,20,0.0
116,Mount Gambier,AU,2022-11-09 18:11:58,-37.8333,140.7667,71.8,48,99,13.78
117,Chenghai,CN,2022-11-09 18:11:58,23.4632,116.768,71.04,88,0,3.24
118,Amga,RU,2022-11-09 18:11:59,60.8953,131.9608,-7.02,98,100,2.15
119,Ishinomaki,JP,2022-11-09 18:11:59,38.4167,141.3,49.3,74,31,4.85
120,Port Elizabeth,ZA,2022-11-09 18:11:59,-33.918,25.5701,63.1,89,75,11.5
121,Ust-Nera,RU,2022-11-09 18:12:00,64.5667,143.2,-26.91,99,86,4.83
122,Gidole,ET,2022-11-09 18:12:00,5.65,37.3667,62.62,59,100,3.27
123,San Juan,AR,2022-11-09 18:09:38,-31.5375,-68.5364,96.51,10,22,12.19
124,Kitimat,CA,2022-11-09 18:12:01,54.0524,-128.6534,20.91,56,44,1.01
125,Foz,ES,2022-11-09 18:12:01,43.5692,-7.2544,57.09,92,34,3.4
126,Gualeguay,AR,2022-11-09 18:12:01,-33.1416,-59.3097,87.53,16,80,12.39
127,Waitati,NZ,2022-11-09 18:08:51,-45.75,170.5667,43.41,82,10,2.95
128,Puerto Escondido,MX,2022-11-09 18:12:02,15.85,-97.0667,86.83,62,20,6.91
129,Druskininkai,LT,2022-11-09 18:12:02,54.0167,23.9667,48.29,79,100,8.48
130,Ascension,US,2022-11-09 18:11:29,30.2169,-90.9001,83.07,56,0,9.22
131,Narsaq,GL,2022-11-09 18:12:03,60.9167,-46.05,35.82,83,100,2.59
132,Dzerzhinskoye,RU,2022-11-09 18:12:03,56.8344,95.2283,24.73,84,80,7.49
133,Basco,PH,2022-11-09 18:12:04,20.4487,121.9702,80.47,81,100,10.98
134,Olenino,RU,2022-11-09 18:13:04,56.2092,33.4889,44.19,88,100,10.13
135,Asau,RO,2022-11-09 18:13:05,46.4333,26.4,43.72,77,12,3.83
136,Carnarvon,AU,2022-11-09 18:13:05,-24.8667,113.6333,65.84,70,28,13.04
137,Ancud,CL,2022-11-09 18:13:06,-41.8697,-73.8203,57.09,82,100,6.17
138,Lompoc,US,2022-11-09 18:12:07,34.6391,-120.4579,57.85,80,75,5.75
139,Nikolskoye,RU,2022-11-09 18:13:06,59.7035,30.7861,49.91,89,99,9.19
140,Poya,NC,2022-11-09 18:13:07,-21.35,165.15,72.03,87,89,8.1
141,Cabo San Lucas,MX,2022-11-09 18:11:56,22.8909,-109.9124,82.62,57,40,9.22
142,Kapuskasing,CA,2022-11-09 18:13:07,49.4169,-82.4331,41.0,93,100,9.22
143,Vilhena,BR,2022-11-09 18:13:08,-12.7406,-60.1458,93.42,31,0,6.91
144,Sile,TR,2022-11-09 18:13:08,41.1754,29.6133,52.57,63,1,8.72
145,Revda,RU,2022-11-09 18:12:02,56.801,59.9303,32.41,96,100,11.61
146,Srednekolymsk,RU,2022-11-09 18:13:09,67.45,153.6833,-8.54,99,100,1.99
147,Teya,RU,2022-11-09 18:13:09,60.3778,92.6267,22.3,87,100,10.45
148,Ola,RU,2022-11-09 18:13:10,59.5833,151.2833,-1.28,87,19,11.74
149,Sao Felix Do Xingu,BR,2022-11-09 18:13:10,-6.6447,-51.995,88.52,53,96,3.13
150,Ayan,RU,2022-11-09 18:13:10,56.45,138.1667,16.48,57,98,15.21
151,Furano,JP,2022-11-09 18:13:11,43.2818,142.4743,42.8,94,80,4.88
152,Yellowknife,CA,2022-11-09 18:13:11,62.456,-114.3525,9.12,85,100,13.8
153,Deqing,CN,2022-11-09 18:13:11,30.5448,119.9599,66.94,87,1,2.04
154,Metro,ID,2022-11-09 18:13:12,-5.1131,105.3067,74.34,94,100,7.94
155,Longyearbyen,SJ,2022-11-09 18:13:12,78.2186,15.6401,19.24,79,0,11.5
156,Bardiyah,LY,2022-11-09 18:13:13,31.7561,25.0865,66.96,60,0,7.09
157,Hirara,JP,2022-11-09 18:13:13,24.8,125.2833,77.32,81,79,15.61
158,Nadym,RU,2022-11-09 18:13:14,65.5333,72.5167,3.36,89,87,8.03
159,Kodiak,US,2022-11-09 18:10:45,57.79,-152.4072,36.91,87,100,16.11
160,Arkhara,RU,2022-11-09 18:13:14,49.4212,130.0842,24.24,59,0,10.42
161,Dikson,RU,2022-11-09 18:13:14,73.5069,80.5464,5.31,88,100,7.78
162,Surt,LY,2022-11-09 18:13:15,31.2089,16.5887,68.97,67,5,5.44
163,Cabedelo,BR,2022-11-09 18:10:36,-6.9811,-34.8339,84.87,65,27,11.79
164,Jiuquan,CN,2022-11-09 18:13:15,39.7432,98.5174,37.26,44,27,4.25
165,Cherskiy,RU,2022-11-09 18:13:16,68.75,161.3,-0.81,98,100,4.81
166,Hobyo,SO,2022-11-09 18:13:16,5.3505,48.5268,80.31,68,3,12.53
167,Dubbo,AU,2022-11-09 18:13:17,-32.25,148.6167,57.33,72,40,12.66
168,Iqaluit,CA,2022-11-09 18:13:17,63.7506,-68.5145,11.7,78,75,25.01
169,Jamestown,US,2022-11-09 18:13:17,42.097,-79.2353,62.19,25,0,9.22
170,Sabya,SA,2022-11-09 18:13:18,17.1495,42.6254,83.82,65,4,2.68
171,Seoul,KR,2022-11-09 18:11:34,37.5683,126.9778,49.44,73,100,1.05
172,Golden,US,2022-11-09 18:13:18,39.7555,-105.2211,68.97,20,31,1.01
173,Simao,CN,2022-11-09 18:13:19,22.7886,100.9748,54.9,82,8,1.52
174,Bethel,US,2022-11-09 18:13:14,41.3712,-73.414,54.18,36,0,5.75
175,Hofn,IS,2022-11-09 18:14:19,64.2539,-15.2082,42.82,81,75,10.36
176,Talnakh,RU,2022-11-09 18:14:20,69.4865,88.3972,-12.62,100,92,1.72
